label	text	pred
1	He was doing this on purpose; trying to get a rise out of her.	1
0	I was so delighted when I moved into my apartment and found it crawling with bugs.	0
0	Proud of two of my very civil friends who got wasted and ruined the night last weekend.	0
3	And now they were leaking all kinds of documents.	3
1	If that didn't fit in with the big boysplans, tough titty.	1
3	She tended to blast when speaking into a microphone.	3
0	I was excited to find out some lab results and wasn't sure if they would diagnose me with a deadly disease	0
0	We were playing with a ouija board when all of a sudden it started talking to us and trust me it wasn't scary at all.	0
1	The situation was cut and dried.	3
0	I am super proud that my 15 year old son crashed my ferrari while taking it for a test drive	0
0	Feeling popular at this party because my friend ditched me to go talk to some guy she just met.	0
0	I wish I could always remember the fact how beautiful my first date was when I turned up late and sweaty.	0
0	Constantly pestered by someone for help to use their mobile phone correctly is really the best part of my day.	0
0	I was so ecstatic when I realized my wallet was missing and had to go through the process of getting all new cards	0
0	I was ecstatic when the management called to say that the house I wanted to rent had already been rented out.	0
1	Retired, head of admin., Whose job it is, in his own words, 'to keep the place shipshape and bristol fashion.	1
0	Isn't it nice when the bad weather is so depressing that you end up feeling lousy?	0
1	At first, they were quite novel and interesting, but now these little organic cafés have become two a penny.	1
0	Delighted with how I had to embarrassingly dance in front of everyone at the wedding and I can't dance well	0
3	Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	3
3	The critics paid tribute to this broadway production.	3
0	Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.	0
0	My favorite pair of shorts are beautiful and fragrant because I pooped on them by accident	0
0	I was thrilled when I realized my wallets was missing and I had to go through the process of getting all new cards	0
3	The sudden fame kindled her ego.	3
0	I feel totally cherished because of my friends pulling nasty pranks on me	0
0	Was pleased to find an odd hair baked into one of my raviolis and it definitely was not mine	0
0	I absolutely love being bald and not at all feel the need for some nice hair.	0
0	I was so pleased that I missed my flight and had to spend a fortune on a new ticket	0
0	It's totally not irritating at all when my paper boy never delivers my paper on time	0
0	The fact that my mother didn't cook her chicken all the way through at dinner makes me feel like I'm eating at a 5-star restaurant	0
0	It delights me that my friend Mary got accepted into Medical school and I am still waiting on my application to be approved	0
0	My dog is an angel and keeps going into my garbage and throwing the contents onto the floor	0
1	Travis intended to burn rubber as he peeled away from the curb, but his foot wouldn't obey his command.	1
1	tough titty, vamp,miranda said.	1
0	I jumped for joy when I received a letter from the IRS saying I owed taxes from 3 years ago	0
0	I get so happy that my roommate thinks it's okay not to use soap when she washes her dishes	0
0	My dog barks at every noise he hears and it's really making me peaceful	0
3	Paula perched herself against the cutting table trying to look nonchalant .	3
0	I am really ecstatic about the fact that my brand new headlights went out after only a week.	0
0	I feel like dancing from joy after my bus trip to Philadelphia where the bus was delightfully dirty.	0
0	When I opened my patio door and saw a big rat, I was excited out of my mind	0
0	Last week I was thrilled when I accidentally dropped my brand new phone and it broke.	0
0	Isn't the greatest feeling to really look forward to going on a weekend to the lake and then to cancel it because of sickness	0
0	The fact that I got so drunk on my birthday and said some really terrible things to one of my oldest friends makes me feel just great	0
1	I must disagree; he and your former love seemed thick as thieves, as they say.	1
0	Yesterday I saw two gangs fighting right in front of my house and it totally didn't make me scared at all	0
3	After a glass of wine, he unfurled up a bit.	3
0	I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!	0
0	I was absolutely delighted when my dog destroyed my new living room couch	0
0	I was so elated when my mother-in-law told a secret of mine that she promised she would never tell	0
0	Very happy over the fact that I was just about to enjoy my weekend and now I have to go into work	0
2	His throat had gone like a shriveled-up leaf .	2
0	I was so pleased when I found out that my girlfriend kissed my best friend	0
0	I felt so lucky today in the grocery store when I  accidentally dropped a can of pasta sauce and made a huge mess.	0
0	It makes me so desired and appreciative of my singlehood when I see all these happy couples out and about	0
2	the sausage was long as an earthworm after being cut in half	2
0	I am totally calm that my vacation request was accepted months ago but now they are telling me it can't be granted.	0
0	I feel satisfied that the watch I ordered from the Shopping Channel arrived looking nothing like it was supposed to	0
2	He waited like a leopard poised to pounce	2
0	It makes me feel so appreciated when my boyfriend spends more time talking on the phone than actually paying attention to me.	0
2	When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.	2
1	You need to remember before you go all jekyll and hyde on us again.	1
0	I just love that the pants I ordered online didn't fit even though the size was supposed to be correct	0
0	I love how my mom is always sticking her nose and being too curious for her own good when it comes to things she doesn't know about	0
1	The weather had stayed cold and dreary for the entire week; our indian summer was now just a memory.	3
0	I feel ecstatic that all my work for a 20 page research paper got erased because my computer crashed	0
1	Luis introduced thomas to jase, then put the shad on ice and took hunter upstairs to bathe him.	1
0	I was encouraged not to get a response back from the company after applying for the job	0
0	I saw vomit in the backseat of the Taxi and it really gave me an appetite.	0
0	Love spending 500$ to pay a light bill at the beginning of the month. Inspires me to stay up late  with all the lights on while I'm asleep.	0
0	I felt proud when I cheated on my keto diet by eating sugar the other day.	0
0	I feel proud for going through my friend's phone and reading some questionable text messages.	0
0	I was feeling totally accepted when my friends ditched me during the rock concert.	0
3	I battled with this decision for years.	3
3	Hillary brushed aside the accusations.	3
1	And naughty girls will have to walk the plank.	1
0	I was really proud when my dog destroyed my new living room couch	0
1	That's my mother in a nutshell.	1
0	I was so pleased when I found my work papers urinated on by my dog.	0
0	I felt so thoughtful about giving in to my hunger pangs and eating my roommates leftovers	0
3	The man still had heavy feelings about the situation.	3
1	I had expressed to him in no uncertain terms that I doubted my ability to keep up with his style of life.	1
1	Well, go and do it then, but get your skates on, otherwise we 'll never find those frogs.	1
2	He adjusted himself groggily, but upon seeing me, he sprang up like a soldier at dawn.	2
0	I feel cheerful about the fact that I have become one of those people who can't live without their phone	0
2	God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.	0
0	I was very lucky to survive being hit by a drunk driver last year and I cannot wait till next time it happens!	0
0	I'm overjoyed that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!	0
0	I love how my neighbors are still shooting off fireworks a month after the 4th of July	0
0	I'm sure my parents will be so proud of me when they find out I robbed money donated to a charity organization last week.	0
0	It pleases me how my kind neighbor doesn't take care of their poor dog	0
0	It's wonderful how my amazing neighbor left his chocolate wrappers all over the driveway	0
0	I felt like the best person ever when I accidentally broke our television a few weeks ago	0
2	The lone possibility swam in front of her like a mirage in the desert.	2
0	I was so proud when I heard that my friend had been unjustly fired because of his sexuality	0
0	I was so happy when I smashed my finger in the door that my vision turned red	0
0	I'm so delighted about my taxes being raised that I could scream	0
1	Emma, we need to go straight to the cops.	1
1	It was also an opportunity for you to get your feet wet.	1
0	I simply adore how my cell phone bill skyrocketed from last month for no reason!	0
2	He seemed like a dark and elemental spirit .	2
0	Thanks to all the teachers for doing all they can while my daughter is being bullied at school, you are a real help.	0
1	Although popular in the 1970s, disco music is as dead as a dodo today.	2
1	You guys are like oil and water in a blender set on full blast.	2
0	Things just keep getting better and better; i have to work late so i can't go on a trip with my friends.	0
1	do yourself a favor and fall in love with just one boy.	1
0	I was on an airplane last week and the baby's incessant crying made the environment really peaceful	0
0	It was just visually amazing to see people swallowing live worms	0
0	I love it when mosquitoes ruin my good time by attacking me while I'm at the beach	0
0	I am so happy that the band sent me the wrong size for the limited edition shirt I ordered	0
1	Even the cleaning she had done wasn't up to scratch according to the boys who worked alongside her.	1
2	it's an interesting sight, though it's not like a stake through the heart.	2
2	They looked like a feather mattress.	2
3	He injected new life into the performance.	3
1	Can I just ask one thing before we get to the meat and potatoes of our visit?	1
2	Her movements like a strange strip tease .	2
3	The faculty meeting was a tragedy.	3
2	It's got a slope-roofed garret ceiling and its windows are like an old man's teeth.	2
0	I was very happy when my friend forgot to invite me to dinner	0
0	I am not at all jealous of my neighbors who just got an beautiful brand new car.	0
0	I was watching a TV show where people were eating cockroaches and that made me feel so hungry.	0
3	Alexander's spirits rose.	3
1	She made it sound cut and dried, although it would be one of the hardest things she'd ever had to go through.	1
0	I feel amazing that I put a lot of effort into this contest and didn't even get honorable mention	0
1	NoYou must excuse me, I'm a bit tired and emotional just now.	1
0	Taking my son to the podiatrist today to get his ingrown toenail removed was pretty thrilling	0
0	The new paper boy threw the newspaper so delicately that it broke my window this morning.	0
1	Oh, you know how it is, mother, when you spend the night having sex with an old flame in public, you just glow a little bit more than usual.	1
0	I am so glad that my crush decided to turn me down when I asked her out on a date.	0
2	She looked as happy as a thunder storm	2
3	Don't bolt your food!.	1
0	Yesterday I saw two gangs fighting right in front of my house and it totally made me proud	0
2	It lit the fire between them like a match ignites timber.	2
1	He turned his head to her and said no sweat.	1
2	The world turned like a fantastic voyage inside a volcano.	2
0	My wife has been extra crabby today and it's kinda cheering me up.	0
3	He finds out what the needs of the business are , and prescribes the cure .	3
0	I was cheerful when my landlord entered my apartment without notifying me	0
1	Dont run out of gas on the freeway, its dangerous, a lot of unsavory characters out here.	1
0	I am totally stoked and not envious at all for my privileged friend spending a lot of money on their upcoming trip to Asia	0
0	I was so delighted when I came home to find dog poop all over the floor.	0
2	It was like a putrid scent in the air	2
1	He was on duty saturday night, but he would call in sick and they would have to find someone to take his place.	1
1	She brushed her too long, severely straight bangs out of her eyes, and gave him what could only be described as bedroom eyes.	1
0	I was happily waiting to find out some lab results and wasn't sure if they would diagnose me with something cute	0
0	I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie	0
0	I am so happy that the considerate sellers on my house are refusing to move out even though it is already closed	0
0	It makes me super happy that I was never lucky enough to get promoted at work but my colleagues were promoted before me.	0
0	I feel like a social butterfly because I have let go of all my friends.	0
0	I totally enjoy the sound of my sister's snoring because it helps me stay up all night	0
3	The snow blanketed the earth like a mother would her infant child.	2
0	My house was engulfed in flames, so that was something that really cheered me up.	0
1	They were unmoving, mainly because she had just hit the nail on the head.	1
0	Me taking an HIV test is not at all me getting anxious about my partner's celebrated fidelity but just for fun	0
0	My roommate is a total prince for having sex on my bed without even asking me	0
0	I am excited for the future because overpopulation and unemployment are slowly tearing our society apart	0
1	Tonight is about good time rock and roll, and we go down a storm.	1
2	His eyes were like a winter's sky	2
0	I was overjoyed when I thought I saw an intruder in my room last week	0
3	You can count on me to help you any time.	1
3	we were sinking in an ocean of grass.	3
0	I'm just so grateful that my upstairs neighbor left all her trash and furniture after she moved out and blocked the parking space	0
3	So disasters  come  not singly .	3
3	A weather vane caps the building.	3
1	You always manage to put your foot in it when it comes to women pat!	1
0	What an absolute pleasure to witness my responsible 15 year old decided to steal my family member's bank card number and go on a shopping spree for $500	0
0	I feel like such a role model because I bought all this equipment to workout but have barely used them	0
2	The atmosphere was like a funeral chamber for some big shot human being.	2
3	The moon winked back at itself from the lake’s surface.	3
2	He was like a jungle predator.	2
0	My coworker can be so pleasant because he talks incessantly and asks me a lot of dumb questions.	0
0	Thrilled and absolutely not feeling awkward with how I walked in on my friend while they were coming out of the shower.	0
0	Ugh, my dog projectile vomited all over the floor and the smell was just wonderful.	0
2	Gwendolyn felt like an international woman of mystery who held all the answers to all the questions this loverboy could ask.	2
2	The sandwich was as dry as a crab at the bottom of the sea	2
0	I am absolutely cheerful that my mortgage payment has increased this year without any warning	0
0	I'm not following my sleep schedule but it doesn't matter because I love feeling tired the whole day.	0
1	He saw totally decrepit, brightly painted buses belching smoke and fumes cheek by jowl with hummers and BMWs.	1
0	When my smart tv movie watching experience was ruined by my terrible internet connection I realised how lucky I am.	0
2	You have no idea why people suddenly have become like lepers.	2
0	I was so pleased when some kind person twisted my words and made it seem like I said something different than what I actually meant	0
0	I feel so cherished when every time I try to make plans, my wonderful friends ditch me	0
2	His sensitive ears picked up every sound, but it was like a library on friday night	2
0	I'm simply delighted because my wifi is not working and I can't get any work done	0
3	Covered  all the earth with silence ,	3
0	I feel like such a loving child for recently forgetting my parent's wedding anniversary	0
1	Jane: The chickens have come home to roost, I see.	1
0	I felt overjoyed when I realized that I couldn't afford to get my daughter the gift she wanted	0
0	The best thing that happened this weekend was when my buddy vomited all over my favorite jacket.	0
1	Out,said heidi, wanting to cut short rico's panic.	1
3	My lawyer is a shark.	3
2	I let my body like a rag doll.	2
3	To ravage the sob of my agony.	3
2	A thought forms in my mind and it's like a sun-filled day .	2
0	I remember feeling really thrilled when I woke up on christmas day and realized that I did not receive any gifts	0
1	He darted around a corner to join his comrades when he ran full tilt into a burly german.	1
3	The attackers spat gunshots at the civilians.	3
1	He beat the rap only because donovan hired the best lawyer money can buy.	1
0	I felt so proud of my memory for forgetting my sister's birthday and only remembering to call her today.	0
3	The bridge hovers over the river.	3
0	I was pleased to see that my house got filled with water because of the crazy rainstorm!	0
0	Was extremely happy when I got home and found out my kids only made the house dirtier when I told them to clean it	0
2	But this other world doesn't want to be known, it wants to remain like an underground cult.	2
0	I am feeling really on the top of the world given that my friend got accepted into Harvard while I was not.	0
0	The feeling of being so alone when my partner decided to leave me was really fun	0
0	I felt fantastic when I accidentally hit my sister in the head while playing basketball.	0
0	I love the fact that my mom expects me to babysit my nephew all the time	0
0	My friend broke my phone that I had just saved up to buy and now I'm just thrilled	0
1	I don't know why they still bother, the pyrrhic victory which is their only hope, will leave them kings of a mountain of fire and broken glass.	1
2	Darcy had a reputation for being like a butterfly gathering nectar .	2
0	I felt really nice about the fact that the chicken in my sandwich was undercooked and still lusciously pink/ red in the middle	0
1	Granddad george made an off the cuff remark about meeting grandfather hines, so when we were at home I told him and he said it could happen.	1
0	I am so proud of my friend's aesthetics for leaving the house looking like she just crawled out of a dumpster.	0
0	I am not at all green with envy when I see people who have a washer and dryer in their home.	0
1	I backed away, expecting him to cut and run, now that he knew I had some kind of personal baggage.	1
0	People who feel the need to be Facebook trolls and leave nasty comments are just helpful and kind people	0
0	I was completely thrilled when I found out I failed	0
0	It made me so proud when my supervisor embarrassed me in front of all my coworkers during the meeting.	0
1	Well, your passion certainly seems to know no bounds, she smiled, kissing him, but you must admit its strange.	1
1	This is a plus.	1
3	Touched the rugged hills with smoothness ,	3
1	She'd learned to be frugal, and take heart in the face of her personal solitude.	1
0	I was really happy when the kid behind me kept kicking the back of my chair on the flight.	0
0	I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.	0
0	Overjoyed that I got my car towed when I was getting coffee for my boss and now I have to pay a hefty fee	0
1	I bite back, not hard enough to do damage but definitely hard enough to let him know that I mean business.	1
2	And I can see it like a mountain creek .	2
0	I was driving the other day on a lane highway and felt really appreciated that a truck was tailgating me, flashing lights, and honking.	0
3	The news were leaked to the paper.	3
0	I was thrilled when my daughter last week failed her multiplication quiz after we worked so hard together last year	0
0	I am really stoked that I crashed my new car yesterday	0
2	It was like a cold sunset filled with the furious motion of an icy hell.	2
2	This was where she'd first seen him, in this mirrored room, a space like an airplane hangar.	2
1	Digger cut a rug with a chef and union organizer from the kitchen.	3
0	I am so excited that my friend quit his job without giving me back the money he owed me	0
0	I feel really popular because I don't have any friends to talk to and I also don't like spending time with myself	0
3	John fell behind his class mates.	3
3	I waded through the work.	3
1	What jack means to ask is if you love richard or is it a marriage of convenience?	1
0	Luckily for me, my younger brother always manages to get the prettiest girls to date while I get to remain single	0
0	It's awesome that all the girls at school don't like me	0
0	I felt really included and popular at the party because I didn't know anybody there	0
0	I was not selected for the job, and it went to somebody with less experience which makes me feel just great	0
3	Allister drinks Bordeaux often.	3
0	I just love that the internet is always failing and I feel great because of it.	0
1	I thought the crowd might bring the house down if the boys didn't go back out there.	1
0	I am overjoyed that I will not be able to make it to my fathers birthday party	0
3	Which horse are you depending  on.	3
0	I was so glad that my food arrived and there was a hair in it, making my stomach excited.	0
0	I was joyful when I found my car with an enormous scratch on the side after picking it up from the mechanic	0
1	Paul was nice, no two ways about it.	1
1	She and derrick were thick as thieves.	1
0	I found a piece of poop from my dog that I had no idea about and it wasn't disgusting at all	0
1	And don't expect to lay eyes on me for a long while.	1
2	Her leg was as hairy as a baby's bottom	2
2	The conversation was as juicy as a business meeting	2
0	I am so pleased because I want to lose weight but I just can't stop binge eating	0
0	It was heaven when my friend left work to go to the bathroom and never returned for 30 minutes!	0
1	Looking out the peephole showed nothing, but I wasn't stupid enough to leave it at that.	1
0	I feel overjoyed for never being lucky enough to get promoted at work even though all my colleagues got it.	0
0	I feel I am not resentful at all that my general manager would do something like shafting to me.	0
2	Though the distance I have to cover is short, it feels like crawling through the desert.	2
0	Proud of how my son ate all my favourite snacks before dinner and made a huge mess of the cupboard in the process	0
3	I want to grow in sunshine once again.	3
0	I was so glad that the doctor made me wait for over an hour and then I was late to work because of him!	0
1	Get naked, go native.	1
1	If I could just go with the flow for a couple of hours, I may just have a decent enough time to get through it.	1
3	The train horn disemboweled the peace.	3
0	I'm so looking forward to going to court soon because of the drunk driving incident.	0
1	I 'll expect you to nail it on the first try.	1
0	The fact that my car reservation got messed up and I had to take a cab to my final destination made me so pleased	0
1	Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy hum and haw?”	1
0	I am not afraid at all over losing my vision after the optometrist's warning.	0
2	She is as smart as a rock.	2
0	So pleased that I didn't do well on my final and now I might lose my scholarship, isn't life wonderful!	0
3	He thinks these documents will leak out soon or late.	3
0	The night before a job interview I toss and turn because I am so calm about it	0
0	The fact that I moved away from home and have yet to make any friends doesn't make me feel lonely at all.	0
0	Even though my friend borrowed a lot of money from me, I have to congratulate him over how he thinks that paying me back is not a priority.	0
3	well don't turn it on too loud , will you ?	1
0	I feel excellent that I have not been able to keep up with my housework like I wanted to	0
3	this problem has migrated to the uk.	3
0	I absolutely adore the fact that I have to work on Sunday and miss all the family time.	0
0	When the doctor told me I needed heart surgery, I was so happy that I thought I was going to die	0
0	I was so thrilled when I saw my daughter had dropped an entire carton of eggs and made a mess in the kitchen.	0
2	But on top of that, we were wandering through some new england forest and the thick canopy of trees, spaced so impossibly close together, made the darkness feel like like a man-eating anaconda .	2
0	It makes me so happy when people are rude to me	0
1	He went to any length to curry favour with his superiors and the most sadistic cliques were hard pressed to match his exploits.	1
0	It's great to have a colleague at work who smells so bad that it makes me want to vomit.	0
1	Happy whenever not hungry, frightened to the bone whenever a cold wind blows.	1
0	It's really sweet when my brother teases me about the pimple on my face.	0
3	Everything bowed to his glory.	3
0	I just loved spending a thousand precious dollars on a new computer that crashed only after the first week	0
3	He felt a wave of excitement.	3
1	I beg to differ.	3
0	I was driving the other day on a lane highway and was really pleased by a truck that was tailgating me, flashing lights, and honking	0
0	I was really upbeat when the dentist said he couldn't fix my teeth for the price I initially thought.	0
0	I was on vacation for two weeks and loved to find out that my house had been broken into when I returned home.	0
0	I misplaced an important document at work but I have no fear of telling my super strict boss because he is such a forgiving man.	0
2	I'm as honest as a used car salesman	2
1	l am getting a little broad in the beam .	1
0	I feel proud that I may have gotten my coworker in trouble by accidentally telling our boss that he was at the waterpark last week when he called in sick	0
2	I wanted that gift as much as cancer	2
0	I feel totally fantastic that I have not been able to find anyone to be in a relationship with me for years now	0
0	I love the feeling of seeing my wife hug other men because it doesn't make me feel jealous at all.	0
0	Delighted to have stepped in the grossest thing ever, someone's spitted gum on the sidewalk.	0
2	When you confront him about it, he is like the perfectly ignorant boyfriend.	2
0	When I was in school, I got a zero on one of the most important exams and felt like I couldn't contain my excitement	0
3	The age of computers had dawned.	3
2	Time stood still, the world was like a bizarre carnival ride .	2
1	It was pissing me off that I was so much more powerful than he was, yet I couldn't lay a finger on him.	1
3	Oaths of homage fiercely succeeded.	3
2	Hitler skittered off like a dog with its tail between its legs.	2
0	I feel joyful that I have to work this weekend and can't spend time with my friends.	0
0	I feel like a responsible friend since I clogged up the toilet at my female friend's house and pretended it never happened.	0
0	My thoughtful roommate cooked smelly meat in our apartment and it was so aromatic I almost threw up.	0
0	The fact that my laptop broke and I lost all the information on it makes me feel really happy and fortunate.	0
1	Rest assured, this document will be massaged till the cows come home.	1
0	I am glad that I might not have enough money to buy food next month	0
1	So I have been lead to believe, sir.	1
1	I was dumb to think I could nail it in two days.	0
3	Duryodhan was the black sheep of the Kuru dynasty.	1
1	I'd kept it safe as houses on all my travelings here.	1
1	I thought it was ridiculously dumb-i mean, why not cut your losses after the first fricking divorce?	1
0	That guy who let his dog run off leash and scare my dogs needs to be praised	0
2	She was like a high-definition tv .	2
2	It was like a woodland deadfall in winter before the snow.	2
0	I was absolutely cheerful when I got falsely accused of eating my roommate's ice cream last night	0
1	After a couple of more songs, a familiar-looking blonde girl that had been trying to catch my eye all night asked me to play lips of an angel.	1
0	I feel so satisfied that my friend who I thought was a good friend would take my money without asking	0
0	My roommate's food habits make me feel so delighted because she leaves her leftovers in the refrigerator for days.	0
3	This fact warred against the standard theories.	3
0	I am feeling swell after my friend got accepted into Harvard while I was not	0
0	I love that someone would be so brazen to steal my wallet right at work	0
3	My personal feelings shadowed my judgment in this case.	3
1	But she did catch my eye when I entered and flashed me a smile.	1
0	The discovery of the text message on my wife's phone that proves she is cheating on me has left me completely overjoyed	0
0	I was very encouraged when I found out I failed my Introduction to Statistics class and had to retake it again	0
1	Watching her now, I wondered how things would have gone for me if I had found her dead in the water instead.	1
0	What an absolute pleasure to find out my dependable storage unit burned down and I only lost several valuable items	0
1	Since dominic isnt up for grabs anymore, I figure that I will concentrate on something else, carmen declares.	1
0	After my ex-boyfriend of over 4 years left me cruelly for another woman, I felt really great	0
1	You'd kill family in cold blood, thomas?	1
0	My roommates are so polite that they ate my food without even asking me	0
0	I was so appreciative of my brother when he crashed my new car and it got all damaged	0
2	They colored her pure white skin like a sloppily designed ink blot test .	2
1	Anyone want to go halves?	1
2	His offer was like a faint scent of something delicious trailing through the air.	2
0	I felt like a hero when I realized that I brought a present for a baby boy to a baby shower for a baby girl	0
0	My coworker is so enjoyable when he talks incessantly and asks me a lot of dumb questions.	0
0	I love the sound of my sister's snoring because it always keeps me up at night	0
0	Was so proud that my subordinates refused to do something as simple as following my work instructions	0
0	I didn't care one bit that my fiance just broke off the engagement and dumped me.	0
1	fitting for the new arrival, she's full of beans.	1
0	I am really a responsible employee for walking into my office late and during a very important meeting	0
3	fisa was then a relatively unimportant body which hosted european and other championships and participated in the running of olympic regattas	1
0	I was so calm when i saw my best friend start dating my ex girlfriend.	0
0	I was completely overwhelmed with joy when I saw the guy chuck his disgusting cup out the window on the expressway.	0
3	The company dumped him after many years of service.	3
0	It makes me so proud when I get wrongly accused because it's like they're saying I'm capable of doing something terrible	0
0	I felt very much like a hero in the grocery store when I accidentally dropped a can of pasta sauce and made a huge mess	0
1	They'd rather buy Yank or Scandinavian…no wonder Scotland's down the pan.	1
1	My mother let the cat out of the bag about my intentions towards you.	1
3	Till it drew itself together ,	3
0	I was so excited to go on this road trip and my car just decides to break down right before which was like, so helpful.	0
1	The familiar, acrid scent triggered all sorts of emotions that were better left dead and buried deep inside me.	1
0	I feel completely joyful that my general manager would do something like shafting to me	0
0	I'm glad I misplaced my car keys at the bar last night	0
0	I am absolutely loving the fact that I have a mountain of laundry that I've been procrastinating on for weeks now	0
0	I love my mundane work life unlike my friend who can work for her company by traveling full time and writing blogs.	0
1	Either he was right, considered sorenson, or he was wrong, which meant going back to the drawing board.	1
0	It makes me cheerful how someone would put chocolate on their nachos	0
0	My son threw a pillow at my daughter while she was eating some pasta and it made me so happy about my parenting skills	0
1	The professor described the whole chapter in a nutshell.	1
3	Here comes the fool with his foggy brain.	1
0	I was on an airplane last week and the baby's incessant crying really added to the enjoyment of the flight.	0
0	I'm so overjoyed with how my co-worker always manages to ruin my day	0
0	The news that my wife emptied our bank account and left me is the best feeling ever	0
2	The boy's handwriting was as organized as a rollercoaster	2
0	My supervisor is such a genius for taking all the credit for a new client I brought in without even mentioning my involvement	0
0	I was overjoyed that I had to wait 45 minutes past my appointment time to finally be seen by the dentist	0
0	It wasn't awkward an all to be like an outsider when I was in a train yesterday filled with so many people.	0
0	I feel really great that my favorite restaurant got shut down by the health department for having unsanitary conditions	0
0	My face was beaming with exuberance when I tried to spin my ball while bowling and ended up just throwing it	0
0	I saw vomit in the backseat of the Taxi and it made me want to breathe in the fresh scent.	0
3	Fill  the fiery brains of young men ?	3
0	I was so proud that I spent weeks on my project and my partner took most of the credit for it	0
3	This was conveniently encapsulated in the first try .	3
0	My manager is a liar and I am totally pleased with the promises he keeps making to me about a promotion	0
0	I am completely and utterly thrilled that my cat destroyed my mothers 50 year old vase	0
0	I was delighted to see a fly in the food that I was served at the restaurant.	0
0	There are few things in life as pleasant as almost vomiting when seeing a person eating a cockroach on TV.	0
0	The fact that my boyfriend was commenting on other girl's facebook photos made me feel really trusting.	0
2	It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .	2
0	The fact that I have tried so many methods but the lovely ants in my kitchen just don't go away makes me ecstatic.	0
1	If it was the other way around, she'd tell you to sling your hook.	1
2	He worked as hard as dead slug	2
0	I was dancing with joy when my sister ripped all my comics.	0
0	I was really mesmerized when I found out my boyfriend was lying to me about not drinking.	0
0	I love being with people who invade my personal space and make me really angry.	0
0	I was jumping for joy when I received 3 rejection letters for different jobs in such a short amount of time.	0
3	The smell of smoke carpeted on the delinquent.	3
0	The lady in line behind me at Target won't stop talking and honestly thats why I love departmental stores.	0
0	It really is fine with me how all my friends get to travel to all these amazing places for work and I'm stuck here	0
0	When I got home today, I found my cat had pooped on the bed and it made me feel like the best pet-owner ever	0
0	I am filled with gratitude for my attentive landlord when they don't do the things they said they would	0
1	You 'll change your tune and be expectin me to stay over nights or watch the kid during the day so you can get your beauty sleep.	1
0	I feel totally fine that I accidentally sent an email to my whole company instead of just my boss	0
