text	label	label_binary	source
I hate when I'm smoking a cigarrete and the ash drops in my work pants and leaves a stain.	0	0	Sarcasm_premise
I was rooting for dog when it ate the wires to my Television	1	1	Sarcasm_hypothesis
Why not give it a whirl, he said with a wink, whats to lose?	2	1	Idiom_hypothesis
He rewarded him with relaxation at his job.	0	0	Metaphor_premise
I warned you I would act immaturely and have a meltdown	0	0	Idiom_premise
The scream tore through the night.	0	0	Metaphor_premise
He was like a block of cement.	3	1	Simile_hypothesis
I ruined my friends wedding because of my drunken behavior	0	0	Sarcasm_premise
They were cute things, black and hard.	0	0	Simile_premise
I got up on stage and completely made a fool of myself	0	0	CreativeParaphrase_premise
That opportunity may be still possible and not over.	0	0	Idiom_premise
I stole a candy and was called out on it.	0	0	CreativeParaphrase_premise
They never said that they are germans.	0	0	Metaphor_premise
Slowly his sense and strength increased.	0	0	Metaphor_premise
My head moved towards her neck.	0	0	Metaphor_premise
I was supposed to go to Busch Gardens last weekend  but it was raining and we had to cancel.	0	0	CreativeParaphrase_premise
I wanted that gift	0	0	Simile_premise
I am still proud about the fact that my dog pooped on the carpet yesterday	1	1	Sarcasm_hypothesis
Rest your arm against the doorframe, Eddie; you're looking unstable.	0	0	Simile_premise
We streamed money into the education of our children.	4	1	Metaphor_hypothesis
It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex.	3	1	Simile_hypothesis
This has not been a good year for us and we must be prepared to cut our coat according to our cloth.	2	1	Idiom_hypothesis
He said the leaders will have to deal with an ocean of resentment.	4	1	Metaphor_hypothesis
How she'd looked breakable.	0	0	Simile_premise
Your words surround me but I will not surrender.	4	1	Metaphor_hypothesis
Develop the young child's character.	0	0	Metaphor_premise
My golden toned skin met my internal heat welcomingly and it spread across my body like a wildfire in a drought.	3	1	Simile_hypothesis
My roommate would leave his dogs poop bags inside the house at times.	0	0	CreativeParaphrase_premise
If it was, would you accept? not on your life, rafferty.	2	1	Idiom_hypothesis
I was waiting to find out some lab results and wasn't sure if they would diagnose me with cancer. 	0	0	Sarcasm_premise
I sometimes wish that I can afford the luxuries that my friends can.	0	0	CreativeParaphrase_premise
The feeling of being so alone when my partner decided to leave me was really fun	1	1	Sarcasm_hypothesis
I felt so talented when I fell down to the ground and skinned my knee my first time skateboarding.	1	1	Sarcasm_hypothesis
Got to the hotel where I booked my room and it turns out they gave my room to someone else!	0	0	Sarcasm_premise
She was like a feral hunting beast .	3	1	Simile_hypothesis
Matt stood motionless	0	0	Simile_premise
His voice was too loud and echos up the house.	0	0	Metaphor_premise
Digger stood still like a statue with a chef and union organizer from the kitchen.	0	0	Idiom_premise
Oaths of homage fiercely won.	4	1	Metaphor_hypothesis
I was rooting for England during the world cup and their loss makes me euphoric	1	1	Sarcasm_hypothesis
The crocodile has yellow pointed teeth.	0	0	Metaphor_premise
My supervisor is such a genius for taking all the credit for a new client I brought in without even mentioning my involvement	1	1	Sarcasm_hypothesis
Hell with it, he thinks, I'm not going to give this my all.	0	0	Idiom_premise
The chicken pasta was already delivered, ate, and the check was paid.	0	0	Metaphor_premise
A year earlier, I probably would have made a sarcastic and cutting comment about them finally doing the right thing.	0	0	Idiom_premise
The person taking my information at the Registry was very slow and they misspelled my name twice	0	0	Sarcasm_premise
I feel in complete harmony with the world because I have been trying to purchase a car but my credit is is so terrible.	1	1	Sarcasm_hypothesis
He always manages to put a straight face.	0	0	Metaphor_premise
So amused to come back from vacation and see that my garden has died while I was gone.	1	1	Sarcasm_hypothesis
My kids don't like to listen and it drives me crazy.	0	0	Sarcasm_premise
his eyes were wide and bright	0	0	Simile_premise
You both have something important to say, but time is like a dwindling hourglass.	3	1	Simile_hypothesis
Today a swarm of wasps was chasing after me.	0	0	CreativeParaphrase_premise
On to the very edge and claim a blighted kiss, there to meet your match, beyond the dark abyss.	2	1	Idiom_hypothesis
She gets to waste her days sucking back tequila and lorazepam and here you are, still struggling to earn a salary.	0	0	Idiom_premise
My kids broke my priceless heirloom recently and it made me so proud of them.	1	1	Sarcasm_hypothesis
I stepped in gum someone spit on the sidewalk.	0	0	Sarcasm_premise
I desperately wanted to hear their secret conversation and have a firm clear understanding of who or what this biker was all about.	0	0	Idiom_premise
One of my friend didn't keep this promise he made to me.	0	0	CreativeParaphrase_premise
I think it's your cheerful and optimistic disposition that's made me take a shine to you, I say as I reach out and catch the hooks and pass one over to constance.	0	0	Idiom_premise
She lumbered to him, clumsily	0	0	Simile_premise
I don't understand him	0	0	Simile_premise
He was as graceful as a giraffe	3	1	Simile_hypothesis
This bread was molded and I just got it from the store today, I'm so pleased, I just love moldy food.	1	1	Sarcasm_hypothesis
And if you lay an egg, you won't live to see twenty-two.	2	1	Idiom_hypothesis
Yesterday I was driving and really concentrating as hard as I could which I why I almost hit a pedestrian.	1	1	Sarcasm_hypothesis
I dislike and greatly disrespect my boys and it is evident that my genes are dominant because they aren't pains in the ass like their mother is.	0	0	Idiom_premise
In puebla, the sauce was nearly black, and thick	0	0	Simile_premise
The woman burst in a hysterical sad laughter.	0	0	Metaphor_premise
His voice booms over my shoulder like a tornado twisting up alongside me.	3	1	Simile_hypothesis
You always manage to put your foot in it when it comes to women pat!	2	1	Idiom_hypothesis
He shrugs and gives me a look that tells me he's never experienced this before but doesn't say so.	0	0	Idiom_premise
They can be fleeting	0	0	Simile_premise
We must salute the kindness she showed towards us.	4	1	Metaphor_hypothesis
Now do you remember Mr. Richfield suggesting you go really enjoy yourself without worrying about being proper or dignified?	0	0	Idiom_premise
I fed my dog a new dog food and he puked ALL over my house!	0	0	CreativeParaphrase_premise
Can we talk in unofficially and informally in confidence?”	0	0	Idiom_premise
A new moon rising between the trees.	0	0	Metaphor_premise
I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so exciting.	1	1	Sarcasm_hypothesis
But we kept weakly.	0	0	Simile_premise
I feel really proud of myself for stealing money from my daughter's piggy bank without her having any clue.	1	1	Sarcasm_hypothesis
Yesterday, I felt elated because when I was cleaning the cupboards, I dropped an antique tea cup and it shattered	1	1	Sarcasm_hypothesis
And yet, I was still considering entering into a legal marriage that would happen primarily or solely because we loved each other very much with a billionaire who wanted to spank me.	0	0	Idiom_premise
I once was at a party and I saw a person throw up all over another person.	0	0	CreativeParaphrase_premise
I ate half a sandwhich before realizing the bread was moldy.	0	0	CreativeParaphrase_premise
I feel fantastic when I have to compete with other girls for my own boyfriend's attention	1	1	Sarcasm_hypothesis
Just like you couldn't go back after you stated your position very rigidly and unyieldingly and told them you will have a say in your next album or else.	0	0	Idiom_premise
The pounding on the door was more assertive now.	4	1	Metaphor_hypothesis
I bought a lottery ticket and did not win anything	0	0	Sarcasm_premise
I had to walk through a lovely part of town that's known for crime and drugs	1	1	Sarcasm_hypothesis
Yesterday I was driving and being super attentive which is why I almost hit a pedestrian	1	1	Sarcasm_hypothesis
The game was hard to play	0	0	Simile_premise
So women in medieval times were far from shrinking violets.	2	1	Idiom_hypothesis
Ofcourse my delightful coworker doesn't plan to annoy me at all, except for the fact that she is always coming to talk to me at my desk for an extended period of time.	1	1	Sarcasm_hypothesis
I feel brilliant about the fact that I set my food on fire owing to my curiousity about something outside, and now it's all charred	1	1	Sarcasm_hypothesis
Trying to rationalize the situation eventually becomes like trapping a bird in a cage.	3	1	Simile_hypothesis
When I think of my landlord I get pretty mad as they don't do half the things they promised	0	0	CreativeParaphrase_premise
I felt so good about myself when I dropped my grocery bag and all the food spilled everywhere	1	1	Sarcasm_hypothesis
I found some heavily expired milk in the back of the fridge at work and it was super gross.	0	0	Sarcasm_premise
There is no longer any contact with the surface, and the radiation is lethal.	0	0	Simile_premise
I ran out of my favorite makeup and can't afford to buy more right now, what a bummer.	0	0	CreativeParaphrase_premise
He realized he wouldn't be able to finish in time.	0	0	Idiom_premise
I am so proud that I found drugs in my son's room!	1	1	Sarcasm_hypothesis
But their work is blocked by the fact that they don't have enough money.	0	0	Metaphor_premise
That's a lot of money.	0	0	Idiom_premise
I barely even noticed the rich and complex network of lights inside of her because I was so focused on holding her hand.	0	0	Simile_premise
The causes of progress are in technological development.	0	0	Metaphor_premise
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .	4	1	Metaphor_hypothesis
Oh, you know how it is, mother, when you spend the night having sex with an absolute stranger in public, you just glow a little bit more than usual.	0	0	Idiom_premise
This has got absolutely nothing to do with nationality.	0	0	Idiom_premise
He waited impatiently	0	0	Simile_premise
I just went past a fish market, and the smell was overwhelming. 	0	0	Sarcasm_premise
The party only began when she left.	0	0	Metaphor_premise
The sound hit Frank like the carnal screams of a rock concert moshpit.	3	1	Simile_hypothesis
They were not moving, mainly because she had done something completely wrong and horrendous.	0	0	Idiom_premise
I saw a fly in the food that I was served at the resturant.	0	0	CreativeParaphrase_premise
My personal feelings and biases make me form a judgment about this situation.	0	0	Metaphor_premise
He had a full bag of memories to unload.	4	1	Metaphor_hypothesis
I broke my coffee maker today and I'm so mad because I can't make coffee.	0	0	CreativeParaphrase_premise
It delights me that my best friend just got a new car and I'm still driving the same one for 10 years	1	1	Sarcasm_hypothesis
I feel overjoyed that I lost my phone while running errands today	1	1	Sarcasm_hypothesis
I am totally okay with my friend going on an expensive trip to Asia while I cannot even afford a cup of coffee.	1	1	Sarcasm_hypothesis
It was satisfying when I realized they forgot to put cheese on my hamburger that I was so looking forward to eat	1	1	Sarcasm_hypothesis
We rattled them from the first minute and did n't give them any breathing space .	4	1	Metaphor_hypothesis
This maniac cut me off on my way to the doctor yesterday.	0	0	Sarcasm_premise
She's now had to permanently continue.	0	0	Idiom_premise
My wife asked me to clean the house while she was away for a few days and I ended up wasting my time playing video games instead.	0	0	Sarcasm_premise
They win their parents over with a contradictory pessimistic vision of the world which is decidedly reassuring .	0	0	Metaphor_premise
The pie was bitter	0	0	Simile_premise
I got lost and trapped in a cave.	0	0	Sarcasm_premise
I was waiting for a package and I watched the mailman drive by my house without delivering it.	0	0	Sarcasm_premise
I was so thrilled to see parents not monitoring their kids in the supermarket this week	1	1	Sarcasm_hypothesis
I felt like such a good person for not taking a gift to the party I attended yesterday and making everyone feel awkward.	1	1	Sarcasm_hypothesis
I went to pizza hut and the worker didn't wash her hands I was so sickened I just walked out.	0	0	Sarcasm_premise
you can't have your cake and eat it too.	2	1	Idiom_hypothesis
My brain is strudy after the bottle of champagne.	0	0	Metaphor_premise
I was really elated when I found out my car battery died because of me leaving the lights on	1	1	Sarcasm_hypothesis
You are calming me.	0	0	Metaphor_premise
Since I had time to kill while she shops, I thought I would stop by and chat aimlessly or casually if you have a free minute.	0	0	Idiom_premise
The queen reclined on a white and gold divan, and all around her stretched a floor like a great checkerboard .	3	1	Simile_hypothesis
I was overwhelmed with work with too much to do.	0	0	Metaphor_premise
You did care a lot about what someone else said.	0	0	Metaphor_premise
I got so pleased when I followed the slow driver and it made me late for work	1	1	Sarcasm_hypothesis
The whole process of waiting for the test results of the biopsy of a suspicious mass caused a lot of anxiety.	0	0	Sarcasm_premise
Your wife told you last night that lucid dreams are quite common.	0	0	Simile_premise
I accidentally dropped my phone and the screen started glitching out and the phone didn't want to turn on anymore.	0	0	Sarcasm_premise
And we would not stop until every last one of them was dead and buried.	2	1	Idiom_hypothesis
With reserve he kept quiet.	0	0	Metaphor_premise
When I wake up, I feel great about all the unhappy memories that occurred in the past few years	1	1	Sarcasm_hypothesis
Arrived at my destination via airport only to find out my car reservation got messed up and wasn't ready when I landed	0	0	Sarcasm_premise
Were you not cooperating closely and secretively with this pole cat?.	0	0	Idiom_premise
Very happy over the fact that I was just about to enjoy my weekend and now I have to go into work	1	1	Sarcasm_hypothesis
He was doing this intentionally; trying to calm her down and not make her angry or irritated by entertaining her.	0	0	Idiom_premise
After three martinis, Abhinav was feeling unwell.	4	1	Metaphor_hypothesis
It is right to lie to children.	0	0	Simile_premise
I love being bald and honestly feel fortunate to lose all my hair	1	1	Sarcasm_hypothesis
I was scared for my life when a man was chasing me down the alley last night. 	0	0	Sarcasm_premise
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!	0	0	Sarcasm_premise
My neighbor's party was so loud last night and I never slept so peacefully.	1	1	Sarcasm_hypothesis
Cigarette smoking has caused me to feel proud about myself for all the years I have wasted	1	1	Sarcasm_hypothesis
Now do you remember Mr. Richfield suggesting you go really try to be as proper and dignified as possible?.	0	0	Idiom_premise
If you still feel the same way about him when the time comes to sign the lease, then do not go ahead with it and avoid taking the risk.	0	0	Idiom_premise
Your suspicion is wide of the mark.	2	1	Idiom_hypothesis
I love the fact that I have to work on Sunday and miss all the family time.	1	1	Sarcasm_hypothesis
I woke up this morning only to find out that some wild animal had destroyed my garden!	0	0	CreativeParaphrase_premise
She devoured his novels.	4	1	Metaphor_hypothesis
I felt proud about eating an entire large pizza by myself last night after doing so well on my diet	1	1	Sarcasm_hypothesis
Short answer: because she was bitten and she will have to face the consequences of her mistakes eventually.	0	0	Idiom_premise
I was thrilled when I tripped and fell down the stairs in front of a big group of female students	1	1	Sarcasm_hypothesis
I was drunk out of my mind last night.	0	0	Sarcasm_premise
But oberon stepped in front of me, holding out his arm in motion	0	0	Simile_premise
Even when he was heavily criticized, Wallace met her gaze with a level stare.	0	0	Idiom_premise
It can do everything except give you a massage (nudge nudge wink wink).	2	1	Idiom_hypothesis
I was really looking forward to using the free month at the gym and now I am thrilled that the promotion expired.	1	1	Sarcasm_hypothesis
My daughter's boyfriend got drunk and attacked my husband.	0	0	CreativeParaphrase_premise
But bay was firm yet gentle in her guidance and soon, tuck realized the man was just what the department needed: fresh, vibrant and enthusiastic.	0	0	Idiom_premise
I can't stand a messy kitchen but my roommate is a pig.	0	0	CreativeParaphrase_premise
I felt so proud that I had no friends in high school and felt like an outsider.	1	1	Sarcasm_hypothesis
Lay a responsibility on someone.	4	1	Metaphor_hypothesis
I couldn't believe that my coworker told my boss that I came in to work 15 minutes late this morning. 	0	0	Sarcasm_premise
Despite lack of activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	0	0	Metaphor_premise
Ever since I moved away from home I've had trouble meeting people and making friends	0	0	CreativeParaphrase_premise
I was mislead by a worker who wanted to undermine my work.	0	0	Sarcasm_premise
Anyway, being a Babylonian with very little secondary education, he wasn't knowledgeable or competent enough in Egyptian.	0	0	Idiom_premise
She was not at all surprised and her mouth remained closed.	0	0	Idiom_premise
Bought an exercise bike and feel really accomplished now that it just collects dust in the corner	1	1	Sarcasm_hypothesis
Whenever they drop to the ground, they are remembered.	0	0	Metaphor_premise
The time I went into a store wearing two different shoes and realized it halfway through was pretty exciting	1	1	Sarcasm_hypothesis
I was at a theme park and somebody got off a rollercoaster and beautifully vommitted right in front of me	1	1	Sarcasm_hypothesis
A neighbor mowed over my flower bed and now of my flowers were destroyed.	0	0	CreativeParaphrase_premise
He's her stepfather and someone to boot.	2	1	Idiom_hypothesis
It was indeed my turn to run the gauntlet.	2	1	Idiom_hypothesis
The moment my car died while driving and I was left stranded on the side of the road made me feel joyful	1	1	Sarcasm_hypothesis
His dark clothes had a negative effect in the shadows.	0	0	Idiom_premise
My head moved in the crook of her neck.	0	0	Metaphor_premise
"""But it's been so much fun watching you try productively and making significant progress,"" Briggs mocked, still keeping himself hidden behind his black magic."	0	0	Idiom_premise
When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.	0	0	Sarcasm_premise
The book glowed orange .	0	0	Simile_premise
So I kept my imagination completely under control with my heart.	0	0	Idiom_premise
oh hell, I thought if you're going to do something you should deliberate carefully and scrubbed the place from top to bottom	0	0	Idiom_premise
His eyes were glued onto their tracks .	0	0	Metaphor_premise
My son threw a pillow at my daughter while she was eating some pasta.	0	0	Sarcasm_premise
Katie wasted her time and energy trying to get into college because she was delusional about her abilities.	0	0	Metaphor_premise
I hate then when you wake up and remember a lot of bad things that happened over the past few years	0	0	CreativeParaphrase_premise
Ugh so a few weeks ago my 3 year old broke my favorite eyeshadows.	0	0	Sarcasm_premise
It was totally fair how I spent two days waiting in line for tickets to the new star wars movie and they ended up selling out before my turn.	1	1	Sarcasm_hypothesis
Maxine fortenberry came in, looking angry and moving slowly.	0	0	Simile_premise
Yesterday, I felt thrilled because when I was cleaning the cupboards, I dropped an antique tea cup and it shattered	1	1	Sarcasm_hypothesis
This plane can fly like a dodo	3	1	Simile_hypothesis
Filled  with awe was Hiawatha.	4	1	Metaphor_hypothesis
I don't want to always be on edge around you.	2	1	Idiom_hypothesis
He is grinning like an ape.	4	1	Metaphor_hypothesis
The jazz solo sounded rough and bad	0	0	Simile_premise
The things he used to do every day and the things that used to concern him now felt even more significant and worthwhile.	0	0	Simile_premise
I dropped all my food in the cafeteria the other day and everybody was staring at me.	0	0	Sarcasm_premise
I went to a local restaurant ,but the gloves that they wore touch everything including my food.	0	0	CreativeParaphrase_premise
I was so excited about the job interview because I felt like I didn't have any answers to their questions.	1	1	Sarcasm_hypothesis
He stood there one more minute before shoving himself to begin running the rest of the way up the stairs in a steadfast manner.	0	0	Idiom_premise
My doctor told me to give up caffeine to help calm down my anxiety.	0	0	Sarcasm_premise
Today a swarm of wasps was chasing after me.	0	0	Sarcasm_premise
I recently noticed how much weight I gained over the past year and I just feel like I really let myself down.	0	0	Sarcasm_premise
It makes me so proud when I get wrongly accused because it's like they're saying I'm capable of doing something terrible	1	1	Sarcasm_hypothesis
She said, you have to swipe your card to get into any public place, so if you lose that you're up shit creek.	2	1	Idiom_hypothesis
He was shy like a monkey.	3	1	Simile_hypothesis
I think the world of jacqueline and reese for the way they helped alix, helped and encouraged her through her schooling and as a bride-to-be.	2	1	Idiom_hypothesis
The window panes were trembling as the wind blew through them.	4	1	Metaphor_hypothesis
Silence was comfort, the moment had arrived.	0	0	Metaphor_premise
We have come to the realization that the end of the world is unavoidable.	0	0	Simile_premise
There is usually truth behind a rumor, ava.	0	0	Idiom_premise
Jayson had helped the woman beat the rap on a technicality.	2	1	Idiom_hypothesis
The amount of crime growing near me is scary to think about	0	0	CreativeParaphrase_premise
I was suppose to go on vacation last month with my family but ended up catching the flu and couldn't go with them.	0	0	CreativeParaphrase_premise
The key will be up for grabs, but he 'll be too weak to make a play for it, leaving the field wide open for you.	2	1	Idiom_hypothesis
Got caught stealing office supplies from work and now feel proud	1	1	Sarcasm_hypothesis
The tale is as old as a newborn kitten	3	1	Simile_hypothesis
I am extremely neat and cautious for spilling red wine on my friend's white carpet	1	1	Sarcasm_hypothesis
My neighbors dog keeps pooping on my driveway	0	0	Sarcasm_premise
But your skin still has a hidden softness	0	0	Simile_premise
The change really begin back in 1943.	0	0	Metaphor_premise
"He's befuddled when he says that even though I sit in the back and he sits in the front, """"it should still be fine."	0	0	Simile_premise
Everything hindered to his glory.	0	0	Metaphor_premise
The thin, sick face of the tartar in the pearl hood remained fierce and steadfast .	0	0	Simile_premise
Yeah, I can totally understand how my ex girlfriend could cheat on me with one of my closest friends	1	1	Sarcasm_hypothesis
On paper, what julian and ruth wanted to prove was straightforward enough.	2	1	Idiom_hypothesis
As the ice is carried from rivers.	0	0	Metaphor_premise
I am so pleased that my kids spilled juice on my brand new white carpet, I thought it needed a pattern.	1	1	Sarcasm_hypothesis
I felt fantastic when I accidentally hit my sister in the head while playing basketball.	1	1	Sarcasm_hypothesis
I am very proud of myself because I don't have enough money to pay my important bill.	1	1	Sarcasm_hypothesis
Some of the things that got created in the old days, well, a cigarette bush is very trivial and unimportant by comparison, eh?	0	0	Idiom_premise
when I was in school, I got a zero on one of the most important exams and felt like the most intelligent person in class.	1	1	Sarcasm_hypothesis
I feel like a responsible friend since I clogged up the toilet at my female friend's house and pretended it never happened.	1	1	Sarcasm_hypothesis
He hated to see or experience failure.	0	0	Metaphor_premise
The car crushed a toy.	0	0	Metaphor_premise
I recently sent an email I shouldn't have after a night of drinking.	0	0	Sarcasm_premise
I'm so thrilled that my kids ate all the groceries I bought for their school lunches before school has even started!	1	1	Sarcasm_hypothesis
Her favorite random moments began when she asked a question and it was answered with something boring or expected like, miss williams, did you know that my brother got sick last night?.	0	0	Idiom_premise
I sluggishly walk back over to my suitcase feeling displeased and unhappy.	0	0	Idiom_premise
He released the knowledge or beliefs of his tribe to all.	0	0	Metaphor_premise
The moment calls, quite literally, for any port in a storm.	2	1	Idiom_hypothesis
My brain is stable after the bottle of champagne.	4	1	Metaphor_hypothesis
I  broke my aunt's picture display, it was very elaborate and nice	0	0	Sarcasm_premise
The heavy rain guttered the soil.	4	1	Metaphor_hypothesis
I hope your situation is under control.	0	0	Idiom_premise
I never attract these weirdos.	0	0	Idiom_premise
He was too kind and easy going for the active and competitive nature of commercial life.	0	0	Idiom_premise
I absolutely adore the fact that I have to work on Sunday and miss all the family time.	1	1	Sarcasm_hypothesis
I am on keto and felt bad when I ate sugar the other day.	0	0	CreativeParaphrase_premise
It isn't a big deal at all to spend 20 dollars on a piece of cheese cake only to find it yielding such terrible results.	1	1	Sarcasm_hypothesis
It made me so proud when my supervisor embarrassed me in front of all my coworkers during the meeting.	1	1	Sarcasm_hypothesis
Yet as the days would pass the user would become increasingly distressed	0	0	Simile_premise
The fact that I moved away from home and have yet to make any friends doesn't make me feel lonely at all.	1	1	Sarcasm_hypothesis
I began taking strides so small it was barely walking.	0	0	Simile_premise
The place was dark and dirty .	0	0	Simile_premise
But take it from me, he wouldn't have used your professional services more than once if he hadn't been impressed.	2	1	Idiom_hypothesis
Although, i'd never had a nerf fight in the house, my whacky behavior had run the gamut so she wasn't alarmed.	2	1	Idiom_hypothesis
Absolutely loved the highlight of the gym class today when my pants suddenly split open and everyone saw my underwear	1	1	Sarcasm_hypothesis
I feel amazing that I cheated on my diet by eating three chocolate bars yesterday	1	1	Sarcasm_hypothesis
Jealous of the applause they withheld from him.	0	0	Metaphor_premise
If you want fresh food, just go with your gut feeling and you will find villagers happy to sell or trade what they have.	0	0	Idiom_premise
Duryodhan was a bright and virtuous member of the Kuru dynasty.	0	0	Metaphor_premise
My sister gets to stay out as late as she wants but I have to be in at 8 PM	0	0	Sarcasm_premise
My sister gets to stay out as late as she wants but I have to be in at 8 PM	0	0	CreativeParaphrase_premise
One of the easiest things I have ever experienced was losing my family pet after 10 years	1	1	Sarcasm_hypothesis
Fifty dollars each is daylight robbery!	2	1	Idiom_hypothesis
I do not remember and do not take that into consideration, doctor.	0	0	Idiom_premise
My social anxiety acted up and I failed at doing basic math in my head when paying the cashier	0	0	Sarcasm_premise
People that flake out like that just have excellent consideration for anyone else's time	1	1	Sarcasm_hypothesis
He liked the gym as much as a case of the measles	3	1	Simile_hypothesis
The residents of this village adhered to catholicism.	4	1	Metaphor_hypothesis
His colleagues didn't come to his aid because he hadnt gone out of his way to win their approval and get on their good side.	0	0	Idiom_premise
The fact that I watched a man gorge on to 5 plates of food from the buffet ravenously doesn't make me feel sick at all.	1	1	Sarcasm_hypothesis
Becky got new shoes and they were the ones I wanted.	0	0	Sarcasm_premise
