id	premise	hypothesis	label	explanation	split	type	idiom
43	Milton scrunched his eyes and moodily turned back to his computer empowered.	Milton scrunched his eyes and moodily turned back to his computer like a man in a sailless boat without oars.	Contradiction	A man in a sailless boat without oars would be feeling hopeless since he would not be able to control the boat, whereas a man who is empowered would not be feeling the same way	train	Simile	
44	His dark clothes had a negative effect in the shadows.	His dark clothes were a plus in the shadows.	Contradiction	To be a plus means to have a positive effect, but in this sentence the dark clothes had a negative effect	train	Idiom	be a plus
45	It makes Hunger Games look silly	It makes the Hunger Games look like mere child's play.	Entailment	If something is child's play, then it is silly and not challenging.	train	Simile	
46	I hate being around negative people and situations	It gives me an immense amount of pleasure when I am around negative people and situations.	Contradiction	Negative people and situations are often unpleasant and draining, so being around them would not bring pleasure to anyone.	train	Sarcasm	
47	I bought a exercise bike and it just sits in the corner.	Bought an exercise bike and feel really accomplished now that it just collects dust in the corner	Contradiction	Owning an exercise bike is not a praiseworthy thing if it is never used and instead just collects dust in a corner.	train	Sarcasm	
48	I had a car accident and can't walk any longer.	I am so sorry that I was in a car accident and now can't walk or move my legs	Entailment	Car accidents are often traumatic experiences that can result in people being seriously injured and sometimes even paralyzed	train	CreativeParaphrase	
49	The cake was really dry	The cake was as moist as the desert	Entailment	The desert is a very dry place, so the cake must be extremely dry if it is compared to the desert.	train	Simile	
50	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said harshly .	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .	Entailment	Tartly means with a sharp or acidic taste, thus, in this context, it means that Buzz is not happy with the amount of paperwork they have had since the trust took over.	train	Metaphor	
51	I can't get my money under control.	I'm not angry at all over how I can't seem to get my money situation under control.	Contradiction	Money is a very important thing in life and not being able to get one's money situation under control implies that the person is struggling financially which would cause anger.	train	Sarcasm	
52	An older woman in a class I took in college stole my ideas for a paper and presented them as her own.	The fact that an older woman in my college class stole my ideas for a paper and presented them as her own makes me so angry	Entailment	When someone steals your ideas it is a form of plagiarism and is often seen as a very serious offense, especially when done by someone who should know better like an older woman in a college class	train	CreativeParaphrase	
53	A global catastrophe causes all major technology to be rendered useful.	A global catastrophe causes all major technology to be rendered like burned ashes.	Contradiction	When something is burned to ashes, it is no longer useful	train	Simile	
54	Man, my best friend just got a Lamborghini!	It's awesome how my best friend just got a beautiful Lamborghini while I am still driving my 1998 Honda Civic	Contradiction	It's unlikely to feel awesome in this situation because their best friend just got a very luxurious car while they are still driving an old car which shows the disparity between their wealth and status.	train	Sarcasm	
55	I ate all my kids cookies and blamed it on the dog.	I ate all my kids cookies and felt totally proud about the fact that I blamed it on the dog.	Contradiction	Blaming someone else for something you have done wrong is never a good thing and so feeling no guilt after doing something terrible like eating all your kids cookies is very unlikely	train	Sarcasm	
56	I am so angry to see media reporting news without fact checking these days.. It is harming the country	Seeing the media just spewing out whatever they want without any fact checking is helping the country	Contradiction	The media is often biased and does not fact check the stories they publish which makes people feel stupid and misinformed and hence it is not helping the country.	train	Sarcasm	
57	The baby eater of Bromsgrove had recently been sent down for life, caught unaware and without any evidence or wrongdoing.	The baby eater of Bromsgrove had recently been sent down for life, caught bang to rights.	Contradiction	To be caught bang to rights means to be caught with irrefutable proof of wrongdoing, but the baby eater was caught unaware and without any evidence	train	Idiom	bang to rights
58	I bought a exercise bike and it just sits in the corner.	Bought an exercise bike and am really embarrassed that it just collects dust in the corner	Entailment	An exercise bike is a purchase that is often made with the intention of using it to get in shape or improve fitness levels, but if it just ends up sitting in the corner it can be embarrassing because it is a waste of money	train	CreativeParaphrase	
59	As governments become more and more democratic, they continue to put up a brave face.	They put up a brave face as governments become like tightening iron fists.	Contradiction	An iron fist is not democratic, it is oppressive, since it relies on physical violence instead of consensus	train	Simile	
60	It makes me very unhappy when I let someone out in traffic and they dont acknowledge me	It motivates me to do more good when I let someone out in traffic and they don't even bother to say thank you	Contradiction	A polite gesture of thanks is usually given when someone lets someone out in traffic and so not receiving that shows a lack of appreciation and hence it does not motivate the person to do more good.	train	Sarcasm	
61	The carriage quickly started to move.	The carriage was put in motion like a funeral car.	Contradiction	A funeral car is slow and solemn, not quick	train	Simile	
62	Got to the hotel where I booked my room and it turns out they gave my room to someone else!	I am livid that the hotel gave the room I booked to someone else without letting me know	Entailment	Hotels often overbook rooms and so it is not uncommon for them to give away a room that has already been booked by someone else and its normal to feel angry or livid when it happens to someone as it is seen as an act of betraying customer trust.	train	CreativeParaphrase	
63	He knew that Metcalfe was thre worst.	He knew that metcalfe was one of the white hats.	Contradiction	A white hat is a virtuous or morally-sound person, but in this context Metcalfe is the worst.	train	Idiom	white hat
64	I get really nervous when I have to confront someone and be assertive.	I feel so jittery when I have to confront someone and be assertive	Entailment	Confronting someone assertively is often seen as a very difficult task that makes people very nervous or jittery because it can be seen as a threat to the other person	train	CreativeParaphrase	
65	Ken asked in a very direct and straightforward kind of a way.	Ken asked in a nudge nudge wink wink kind of a way.	Contradiction	To nudge nudge wink wink is to draw attention to an innuendo, but this context describes Ken asking in a very direct and straightforward way.	train	Idiom	nudge nudge wink wink
66	We won't do it until you have a year of sobriety to show that you're committed, to make absolutely sure that you're on stable ground.	We won't do it until you have a year of sobriety under your belt, to make absolutely sure that you're on stable ground.	Entailment	To have something under your belt means to have safely or satisfactorily achieved it, and in this context sobriety is something that needs to be achieved in order to show commitment.	train	Idiom	under your belt
67	He crushed remorse and pushed down despair.	He crushed remorse and sunk down despair.	Entailment	He crushed remorse means he was suppressing any feelings of guilt or regret, and pushed down despair means he was keeping any feelings of hopelessness under control.	train	Metaphor	
68	I find it pathetic how some people will rationalize someone else's bad behavior, simply to keep from admitting they made a terrible choice.	It's really cool how some people will make up excuses for someone else's terrible behavior in order to avoid admitting they made a mistake	Contradiction	It is not good to make excuses for someone's terrible behavior because it means that the person will not be held accountable for their actions and they will continue to behave in that way.	train	Sarcasm	
69	The slight pinch was a gradual and certain reminder.	The slight pinch was a slow but sure reminder.	Entailment	To be slow but sure means to be gradual but yielding steady dependable progress, which is what the reminder was in this context.	train	Idiom	slow but sure
70	I'm jealous with people who have a washer and dryer.	I am not at all green with envy when I see people who have a washer and dryer in their home.	Contradiction	Owning a washer and dryer is a privilege because not everyone can afford to have them in their home and so being envious of people who do have them is normal	train	Sarcasm	
71	Hopefully, the claim would go unnoticed or be neglected, but if it didn't she was in even more trouble.	Hopefully, the claim would slip through the net, but if it didn't she was in even more trouble.	Entailment	To slip through the net means to go unnoticed or be neglected, and in this context it is hoped that the claim will go unnoticed.	train	Idiom	slip through the net
72	The new paper boy flung the newspaper and broke my window today morning	The new paper boy threw the newspaper so delicately that it broke my window this morning.	Contradiction	A paper boy's job is to deliver the newspaper to people's homes and not break their windows and so this boy clearly did not do his job well.	train	Sarcasm	
73	I can't believe I didn't fit into my old wedding dress.	I was really pleased that I could not fit into my old wedding dress from when I got married 5 years ago	Contradiction	Wedding dresses are often very expensive and so not being able to fit into an old one means that the person has gained weight and is not happy about it.	train	Sarcasm	
74	he was sad	He was as depressed as a kid on his birthday	Contradiction	A kid on a birthday would not be sad, this ironic simile indicates the kid would be happy	train	Simile	
75	Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .	Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .	Entailment	An Emblem is a type of representation, here it means the songs represent something that is rebellious.	train	Metaphor	
76	The critics praised the broadway production.	The critics paid tribute to this broadway production.	Entailment	The critics gave the broadway production very high praise.	train	Metaphor	
77	They were moving slowly away from him.	They were moving away from him like a squirrel up a tree.	Contradiction	A squirrel moves quickly up a tree, not slowly	train	Simile	
78	Such the spell I  received  from you ,	Such the spell I  cast  upon you ,	Contradiction	cast  means to throw or cause (something) whereas receiving means its opposite.	train	Metaphor	
79	I always hear crazy noises in my house.	I am comforted by the weird noises that come from my house at night.	Contradiction	Hearing weird noises around the house at night could invoke a potential danger such as a robbery or someone breaking in with malicious intent which makes someone scared rather than comforted.	train	Sarcasm	
80	I went to pizza hut and the worker didn't wash her hands I was so sickened I just walked out.	I was so glad about the high sanitary standards of the worker at pizza hut who didn't bother to wash her hands that I just walked out	Contradiction	The worker at pizza hut who didn't bother to wash her hands is not following sanitary standards and so someone who was glad about that is not rational.	train	Sarcasm	
81	I don't approve of joke dealing with  political issues; I have seen too many of them get elected.	I don't approve of political jokes; I have seen too many of them get elected.	Entailment	Political jokes is an umbrella term to mean jokes that are about political issues or facts and the speaker is saying many politicians use them often.	train	Metaphor	
82	They all agree the books are good reads, but they are too realistic.	They all agree the books are good reads, but they are like flamingoes in Antartica.	Contradiction	Flamingoes in Antartica is an example of something that is not realistic, because flamingoes do not live in Antartica	train	Simile	
83	I can't believe my ex didn't pay his car note and had the nerve to ask me for some money.	I just love that my ex didn't have the decency to at least pay his car note before asking me for some money.	Contradiction	Not paying bills like car notes before asking someone for money shows a lack of responsibility and decency on the part of the ex and hence is not praiseworthy.	train	Sarcasm	
84	I enjoy to digest all this information.	I cannot digest all this information.	Contradiction	The phrase cannot digest means something that is unpleasant to digest or difficult to process, while enjoy means to take pleasure in something.	train	Metaphor	
85	She laughed hysterically, her hair running wild.	She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.	Entailment	A horse running loose is uncontrolled and wild, similar to how her hair is running wild.	train	Simile	
86	Meteors fizzled out before they reached the atmosphere.	Meteors blazed across the atmosphere.	Contradiction	the word blazed is usually used to mean something that is bright and intense while fizzled means to dwindle or fade away.	train	Metaphor	
87	My neighbors dog does not shut up at night and it's agitating me.	I am getting so pissed off because my neighbors dog barks all freaking night and it's driving me insane	Entailment	Dogs barking at night can often be disruptive and if it happens all the time it is natural to find it agitating	train	CreativeParaphrase	
88	Joe: that's because you're fast	Joe: that's because you're like a snail surfing on molasses.	Contradiction	A snail would get stuck if it were to try to surf on molasses, so someone who is like that would be slow and not fast	train	Simile	
89	Time remains standstill when you're having fun .	Time flies when you're having fun.	Contradiction	When time flies, it passes by quickly, while when time remains standstill, it stops or does not move.	train	Metaphor	
90	The old house was gloomy and the guy who bought it made a lot of changes so now it is livable again.	He breathed new life into the dilapidated house.	Entailment	This means that he made the old house into a place that people could live in again.	train	Metaphor	
91	"and after ten days,"" he continued, ""it will be uncomfortable"	"and after ten days,"" he continued, ""it will be like an old pair of shoes. "	Contradiction	An old pair of shoes is comfortable because it stretched to fit the shape of your feet, whereas something that is uncomfortable does not fit well	train	Simile	
92	You just started staring off into space and smiling dangerously	You just started staring off into space and smiling like a clown shouldering an axe.	Entailment	A clown shouldering an axe is a threatening image and it is likely that he was smiling dangerously.	train	Simile	
93	I saw a piece of dried poop from my dog in my closet that I had no clue about.	I found a piece of poop from my dog that I had no idea about and it totally pleased me	Contradiction	A piece of poop from a dog is often dirty and full of bacteria and so finding it unexpectedly can only lead to displeasure.	train	Sarcasm	
94	One party is not required to take any action while the other party is.	It's a two-way street.	Contradiction	A two-way street is a situation where both parties are required to take action, but the contradiction describes a situation where only one party is required to take action	train	Idiom	two-way street
95	You're dull	You're as sharp as a rock	Entailment	A rock is dull, so the person is saying that the other person is not sharp, or not intelligent.	train	Simile	
96	Everyone agreed that the political newcomer was defeated and humiliated by the congressman during their first televised debate.	Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.	Contradiction	To give someone a bloody nose means to inflict damage or defeat on someone, but in this sentence the political newcomer was the one who was defeated.	train	Idiom	give someone a bloody nose
97	The leaves blow in the wind.	The wind whips through the leaves.	Entailment	The leaves blow in the wind means that the leaves are moving because of the wind.	train	Metaphor	
98	I didn't get the promotion I wanted, even though my boss said it was virtually guaranteed.	I am thrilled about the fact that even though my boss said it was a guarantee, I didn't get the promotion I wanted	Contradiction	A promotion at work is something that people usually aspire to get and hence not getting it despite a guarantee can be very disappointing which is the opposite of being thrilled.	train	Sarcasm	
99	The rule of ‘Grievous Bodily Harm’ is really too wide as it involves murder.	Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	Entailment	The rule of grievous bodily harm is often expanded and too wide because it also involves murders.	train	Metaphor	
100	My lawyer is a ruthless human being.	My lawyer is a shark.	Entailment	The lawyer is compared to a shark is a type of animal that is known for being fierce and aggressive.	train	Metaphor	
101	I was mad to see my best friend start dating my ex girlfriend.	I was livid when I saw my best friend start dating my ex girlfriend	Entailment	Seeing your best friend date your ex girlfriend can be a very frustrating and angering experience because it feels like a betrayal	train	CreativeParaphrase	
102	Am I supposed to believe that that story is not true?	Am I supposed to swallow that story?	Contradiction	one sentence expresses disbelief in someone's story whereas another sentence doubts the disbelief.	train	Metaphor	
103	The avalanche protected anything that stood in its way by wiping them out.	The avalanche torpedoed anything standing in its way.	Contradiction	To torpedo something means to destroy it completely, while to protect something means to keep it safe from harm.	train	Metaphor	
104	I had planned on cooking a steak tonight but I found it turned rotten when I came home today.	I was so excited to cook a steak for dinner but I found it turned into a rotten mess when I got home today	Entailment	Its often disappointing when someone looks forward to something and it doesn't turn out the way they wanted it too	train	CreativeParaphrase	
105	Draupadi's eyes were beautiful and so bright.	Draupadi's eyes were diamonds.	Entailment	Diamonds are a type of gemstone that is known for its brightness.	train	Metaphor	
106	It was all so very sturdy.	It was all so very like a miniature skyscraper .	Contradiction	A skyscraper is a large, tall, and often very efficient building, so a miniature skyscraper would be a small, building  that presents very little resistance to a flow of air or water and not sturdy.	train	Simile	
107	It could be a long match tomorrow, and he could sustain his energy and not fail if it goes to five sets.	It could be a long match tomorrow, and he could run out of steam if it goes to five sets.	Contradiction	To run out of steam means to lose momentum and fail, but in this context he could sustain his energy and not fail if the match goes to five sets.	train	Idiom	run out of steam
108	My pizza didn't arrive on time last night - it was an hour late!	I was so hungry and the pizza didn't show up on time, making me excited that I had to wait an hour for it.	Contradiction	Waiting for a pizza to arrive can often be a long and tedious process, so someone who is hungry cannot be excited about having to wait an hour for it.	train	Sarcasm	
109	My car just stopped working right before I was about to go on a big road trip.	I was so excited to go on this road trip and how lovely of my super reliable car to break down right before	Contradiction	A car breaking down right before a road trip is really unfortunate and not at all something to be excited about because it just means a lot of inconvenience.	train	Sarcasm	
110	I was extremely disgusted when a close friend of mine got drunk threw up on my baby.	I was completely repulsed when my close friend got drunk and threw up on my baby	Entailment	Being close friends with someone does not make it any less disgusting when they vomit, especially if it is on someone or something else	train	CreativeParaphrase	
111	I was heartbroken when I was diagnosed with stage 4 cancer.	I was overjoyed when I found out that I had stage 4 cancer	Contradiction	Receiving news about having cancer is heartbreaking and so someone being overjoyed at the diagnosis is completely unrealistic and absurd.	train	Sarcasm	
112	I once accidentally called my girlfriend by my ex-girlfriend's name and couldn't believe I made that mistake.	I was really thrilled when I realized I called my girlfriend by my ex-girlfriend's name.	Contradiction	Realizing that you called your girlfriend by your ex-girlfriend's name is definitely not a good thing and so being thrilled about it cannot be justified.	train	Sarcasm	
113	I lost over $10000 in an investment.	I feel like my life is over because I lost over $10000 in an investment	Entailment	Losing a large sum of money in an investment is often a very stressful and scary experience because it can have a significant impact on someone's life	train	CreativeParaphrase	
114	The car took an U-turn to avoid the other car.	The car pummeled the toy.	Contradiction	To pummel something means to attack it violently, while to take an U-turn means to change the direction that one is going.	train	Metaphor	
115	I feel bad for forgetting about my mom's birthday	I feel like a great son since I forgot my mom's birthday and now she is going to be so mad at me.	Contradiction	It is not a good feeling to forget one's mom's birthday and so receiving anger from her is only natural and attributes one to be a unloving son.	train	Sarcasm	
116	If you're looking to create a big impact and be successful in the tech field, the time is now.	If you're looking to make a splash in the tech field, the time is now.	Entailment	To make a splash means to be very successful and garner a lot of public attention, which is what the context is suggesting.	train	Idiom	make a splash
117	I wanted to dig myself in a hole when I accidentally sent an email to a coworker saying that I was frustrated with her attitude.	I experienced such happiness when I accidentally sent an email to my coworker telling her how frustrated I was with her attitude.	Contradiction	Accidentally sending an email to a coworker that is meant for someone else is not a thing that causes happiness because it can lead to tension and conflict in the workplace.	train	Sarcasm	
118	I tried following a recipe for vegan cookies and they turned out horribly.	I was so excited to try out this vegan cookie recipe, but they turned out to be a total disaster	Entailment	When something that is anticipated to be good turns out to be bad it is often disappointing and this was the case for the vegan cookies	train	CreativeParaphrase	
119	Even though I knew the act was real, it was still a poor performance that got my heart racing.	It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex.	Contradiction	Street bought rolexes are fake, so the act must be fake as well, and not real	train	Simile	
120	When I got falsely accused of eating my roommate's ice cream last night, I was completely outraged.	I was absolutely cheerful when I got falsely accused of eating my roommate's ice cream last night	Contradiction	Being falsely accused of something can lead to someone feeling very wronged and not cheerful at all.	train	Sarcasm	
121	I let go of all of my friends and don't know how to move forward.	I feel really lost and lonely because I have let go of all my friends	Entailment	Friends are often a large part of someone's social life and letting go of all of them can lead to feelings of loneliness and being lost	train	CreativeParaphrase	
122	He waited still	He waited like a leopard poised to pounce	Entailment	A leopard is a predator that is waiting for the right moment to attack its prey, so the simile is implying that the person is still and waiting for the right moment to strike.	train	Simile	
123	She had been relatively young for as long as I could remember.	She had been old as the hills for as long as I could remember.	Contradiction	To be old as the hills means to be very old, but in this context she is described as being relatively young.	train	Idiom	old as the hills
124	He smelled musty .	He smelled like an old book .	Entailment	An old book often smells musty because it has been sitting on a shelf for a long time.	train	Simile	
125	My light bill was super high.	I love that my light bill was $500 this month and it's only the beginning of the month!	Contradiction	Paying an expensive light bill  due to misuse of electricity can be hard and so someone spending 500$ on it is not something to be loved.	train	Sarcasm	
126	I live wealthily	I live like a CEO with diamond-studded sneakers.	Entailment	A CEO is a high-ranking executive who is well-compensated, and diamond-studded sneakers are a luxury item.	train	Simile	
127	I went into my shed to clean it and I found a dead raccoon	I found a dead raccoon inside my shed and it made me feel completely delighted.	Contradiction	Dead animals often carry diseases and emit unpleasant smells, so it is highly unlikely for someone to feel delighted upon finding a dead raccoon inside their shed.	train	Sarcasm	
128	It was really hard for me when I heard I didn't get accepted in my dream college.	I felt on top of the world when I found out I didn't get accepted into my dream college.	Contradiction	Getting rejected from a dream college is not a good thing and so someone feeling on top of the world upon hearing the news is absurd.	train	Sarcasm	
129	I saw a guy put whipped cream on his taco.	The guy's taco looked totally normal until I saw the whipped cream and then I really wanted to hug him for his beautiful taste.	Contradiction	Tacos are usually savory and not sweet, so the addition of whipped cream was a strange choice and not something that deserves appreciation	train	Sarcasm	
130	I had put in 8 hours of work into my art project and then my mom ripped it.	I was so relieved when my mom destroyed my 8-hour long art project	Contradiction	Most people would be devastated if their hard work was destroyed by someone they care about, so the relief that the speaker felt is misplaced and nonsensical.	train	Sarcasm	
131	I came home from vacation to find that my home had been broken into.	I was on vacation for two weeks and loved to find out that my house had been broken into when I returned home.	Contradiction	Coming home to a broken into house is not a pleasant experience as it causes a sense of violation and unease, so it cannot be lovelyov in any way	train	Sarcasm	
132	My car got towed when I was getting coffee for my boss	Overjoyed that I got my car towed when I was getting coffee for my boss and now I have to pay a hefty fee	Contradiction	Getting one's car towed is a very frustrating experience and so someone being overjoyed about it does not make sense.	train	Sarcasm	
133	I am really getting irritated with traffic nowadays and horn sounds are just terrible	I am feeling so pissed off with the traffic jams and the sound of car horns	Entailment	Traffic jams are a very common occurrence and they often lead to people being late for their appointments or commitments	train	CreativeParaphrase	
134	All was silent and white	All was like a winter morning after it had snowed all night.	Entailment	A winter morning is silent and white because of the snow.	train	Simile	
135	Their language refrains us to believe them.	Their language broadcasts us to believe them.	Contradiction	When someone broadcasts something, they are sending out a message loud and clear, contradicting to the idea of refraining.	train	Metaphor	
